Date : 2026-02-13 08:51:15
Directory : /home/babs/PycharmProjects/MusicLibrary
Total : 174 files,  34792 codes, 5645 comments, 8159 blanks, all 48596 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        139 |     33,357 |      5,554 |      7,949 |     46,860 |
| HTML             |          2 |        821 |          1 |         25 |        847 |
| XML              |         29 |        429 |         90 |        131 |        650 |
| pip requirements |          1 |         59 |          0 |          1 |         60 |
| Ini              |          1 |         47 |          0 |         11 |         58 |
| Markdown         |          1 |         45 |          0 |         42 |         87 |
| JSON             |          1 |         34 |          0 |          0 |         34 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        174 |     34,792 |      5,645 |      8,159 |     48,596 |
| . (Files)                                                                     |        143 |     34,282 |      5,555 |      8,017 |     47,854 |
| assets                                                                        |         29 |        429 |         90 |        131 |        650 |
| config                                                                        |          2 |         81 |          0 |         11 |         92 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                      | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/babs/PycharmProjects/MusicLibrary/album_components.py                   | Python           |         74 |          5 |         16 |         95 |
| /home/babs/PycharmProjects/MusicLibrary/album_delete_dialog.py                | Python           |         58 |         10 |         16 |         84 |
| /home/babs/PycharmProjects/MusicLibrary/album_detail.py                       | Python           |        280 |         48 |         69 |        397 |
| /home/babs/PycharmProjects/MusicLibrary/album_editing_relationship_helpers.py | Python           |        333 |         31 |         50 |        414 |
| /home/babs/PycharmProjects/MusicLibrary/album_flowlayout.py                   | Python           |         74 |         34 |         22 |        130 |
| /home/babs/PycharmProjects/MusicLibrary/album_tab.py                          | Python           |        312 |         31 |         77 |        420 |
| /home/babs/PycharmProjects/MusicLibrary/album_view.py                         | Python           |        324 |         78 |         74 |        476 |
| /home/babs/PycharmProjects/MusicLibrary/analysis_dialog.py                    | Python           |        382 |         74 |        103 |        559 |
| /home/babs/PycharmProjects/MusicLibrary/analysis_utility.py                   | Python           |        719 |        153 |        186 |      1,058 |
| /home/babs/PycharmProjects/MusicLibrary/artist_date_format.py                 | Python           |         81 |         68 |         24 |        173 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail.py                      | Python           |        190 |         42 |         37 |        269 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_alias.py                | Python           |         51 |         11 |         19 |         81 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_awards.py               | Python           |        207 |         58 |         59 |        324 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_bio.py                  | Python           |         75 |         10 |         19 |        104 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_container.py            | Python           |         96 |         14 |         31 |        141 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_credits.py              | Python           |        211 |         50 |         60 |        321 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_dates.py                | Python           |         27 |          4 |         11 |         42 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_header.py               | Python           |        198 |         23 |         34 |        255 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_influences.py           | Python           |         94 |         22 |         28 |        144 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_member.py               | Python           |        139 |         25 |         36 |        200 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_places.py               | Python           |        292 |         77 |         80 |        449 |
| /home/babs/PycharmProjects/MusicLibrary/artist_detail_wiki.py                 | Python           |         91 |         21 |         31 |        143 |
| /home/babs/PycharmProjects/MusicLibrary/artist_fuzzy_match.py                 | Python           |        111 |         11 |         22 |        144 |
| /home/babs/PycharmProjects/MusicLibrary/artist_group_dialog.py                | Python           |        165 |         19 |         45 |        229 |
| /home/babs/PycharmProjects/MusicLibrary/artist_view.py                        | Python           |        452 |         70 |        112 |        634 |
| /home/babs/PycharmProjects/MusicLibrary/asset_paths.py                        | Python           |         44 |         14 |         24 |         82 |
| /home/babs/PycharmProjects/MusicLibrary/assets/audio_analysis.svg             | XML              |         17 |          4 |          6 |         27 |
| /home/babs/PycharmProjects/MusicLibrary/assets/audio_settings.svg             | XML              |         22 |          5 |          6 |         33 |
| /home/babs/PycharmProjects/MusicLibrary/assets/cancel.svg                     | XML              |          5 |          2 |          3 |         10 |
| /home/babs/PycharmProjects/MusicLibrary/assets/checkmark.svg                  | XML              |          3 |          0 |          2 |          5 |
| /home/babs/PycharmProjects/MusicLibrary/assets/default_album.svg              | XML              |         13 |          3 |          8 |         24 |
| /home/babs/PycharmProjects/MusicLibrary/assets/default_artist.svg             | XML              |          6 |          4 |          6 |         16 |
| /home/babs/PycharmProjects/MusicLibrary/assets/default_logo.svg               | XML              |         16 |          1 |          5 |         22 |
| /home/babs/PycharmProjects/MusicLibrary/assets/display_settings.svg           | XML              |         18 |          5 |          4 |         27 |
| /home/babs/PycharmProjects/MusicLibrary/assets/equalizer.svg                  | XML              |         18 |          6 |          7 |         31 |
| /home/babs/PycharmProjects/MusicLibrary/assets/exit.svg                       | XML              |          4 |          2 |          5 |         11 |
| /home/babs/PycharmProjects/MusicLibrary/assets/forward_button.svg             | XML              |         14 |          1 |          1 |         16 |
| /home/babs/PycharmProjects/MusicLibrary/assets/full_screen.svg                | XML              |          6 |          4 |          5 |         15 |
| /home/babs/PycharmProjects/MusicLibrary/assets/import.svg                     | XML              |         14 |          3 |          5 |         22 |
| /home/babs/PycharmProjects/MusicLibrary/assets/manage_library.svg             | XML              |         18 |          3 |          5 |         26 |
| /home/babs/PycharmProjects/MusicLibrary/assets/minus.svg                      | XML              |          3 |          1 |          2 |          6 |
| /home/babs/PycharmProjects/MusicLibrary/assets/next_button.svg                | XML              |         25 |          4 |          6 |         35 |
| /home/babs/PycharmProjects/MusicLibrary/assets/pause_button.svg               | XML              |         24 |          4 |          5 |         33 |
| /home/babs/PycharmProjects/MusicLibrary/assets/play_button.svg                | XML              |         23 |          5 |          6 |         34 |
